"filename","cell_no","genotype","stage","foci_count","sd_foci","mean_foci","median_foci","mean_px","median_px","percent_on","sd_px","lone_foci"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_030-crop-182-SYCP3.jpeg","74","Fancm-/-","pachytene","16","21.567778875706","10.8490566037736","4","0.0189697526405961","0.0156862745098039","0.161739130434783","0.0168820063321195","37"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse594_fancm_fvb_x_fancm_bl6_725--_slide01_033-crop-188-SYCP3.jpeg","75","Fancm-/-","pachytene","34","10.0152447900752","9.05","8.5","0.0347396929786407","0.0274509803921569","0.68232044198895","0.0294695216842695","6"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse647_fancm_bl6_exon2_VT_144++_002-crop-190-SYCP3.jpeg","76","Fancm+/+","pachytene","13","7.87158845226964","9.52380952380952","6","0.0460568183765688","0.0392156862745098","0.315","0.0343892486846188","8"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse647_fancm_bl6_exon2_VT_144++_003-crop-191-SYCP3.jpeg","77","Fancm+/+","pachytene","6","5.35554088601872","5.5","4","0.0421158958001063","0.0352941176470588","0.053475935828877","0.0307755141393117","28"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse647_fancm_bl6_exon2_VT_144++_004-crop-192-SYCP3.jpeg","78","Fancm+/+","pachytene","14","7.63282385490455","8.5","5.5","0.0551257779610199","0.0509803921568627","0.253393665158371","0.0429113795681875","12"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse647_fancm_bl6_exon2_VT_144++_010-crop-197-SYCP3.jpeg","79","Fancm+/+","pachytene","11","35.2160751819324","14.6829268292683","4","0.0650783297959737","0.0549019607843137","0.0631229235880399","0.062085052128379","30"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse647_fancm_bl6_exon2_VT_144++_012-crop-200-SYCP3.jpeg","80","Fancm+/+","pachytene","21","56.9319940635487","18.1428571428571","6","0.0267176423305155","0.0196078431372549","0.135826771653543","0.0262403372402903","35"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse647_fancm_bl6_exon2_VT_144++_020-crop-208-SYCP3.jpeg","81","Fancm+/+","pachytene","21","12.0462716098395","11.9047619047619","8","0.0266274600876114","0.0235294117647059","0.254","0.0261584520073889","21"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse647_fancm_bl6_exon2_VT_144++_022-crop-210-SYCP3.jpeg","82","Fancm+/+","pachytene","15","3.78736446023562","4.84615384615385","4","0.0275642855289447","0.0235294117647059","0.44973544973545","0.0168132057188303","24"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse647_fancm_bl6_exon2_VT_144++_029-crop-214-SYCP3.jpeg","83","Fancm+/+","pachytene","21","10.5908217446278","9.07142857142857","6","0.0235146658272825","0.0196078431372549","0.307086614173228","0.0177776226340465","21"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse647_fancm_bl6_exon2_VT_144++_032-crop-218-SYCP3.jpeg","84","Fancm+/+","pachytene","32","9.53897660087677","8.15151515151515","6","0.0159500748090401","0.0117647058823529","0.408921933085502","0.0154470950726238","34"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse647_fancm_bl6_exon2_VT_144++_033-crop-221-SYCP3.jpeg","85","Fancm+/+","pachytene","21","11.0296011188228","10.7714285714286","6","0.0246326262566859","0.0196078431372549","0.408488063660477","0.0214414775072521","14"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse647_fancm_bl6_exon2_VT_144++_042-crop-232-SYCP3.jpeg","86","Fancm+/+","pachytene","26","13.4750366568416","17.3125","15","0.0507883489389036","0.0352941176470588","0.492779783393502","0.0716107143367927","6"
"~/Documents/svi/imaging/test-data-all/crops/pachytene/MLH3rabbit488_SYCP3mouse647_fancm_bl6_exon2_VT_144++_045-crop-235-SYCP3.jpeg","87","Fancm+/+","pachytene","10","10.2808149820506","7.18518518518519","4","0.02220954737035","0.0196078431372549","0.257731958762887","0.0166937268183472","17"
